exp_theta (deg),exp_cs (mb/sr),exp_error (mb/sr),fit_theta (deg),fit_cs (mb/sr),r (fm),rho_Ch (e/fm3)
,,,47.63527,0.00231,,
,,,47.83567,0.00206,,
,,,48.03607,0.00184,,
,,,48.23647,0.00164,,
,,,48.43687,0.00146,,
,,,48.63727,0.00129,,
,,,48.83768,0.00113,,
,,,49.03808,0.00099,,
,,,49.23848,0.00087,,
,,,49.43888,0.00075,,
,,,49.63928,0.00065,,
,,,49.83968,0.00056,,
,,,50.04008,0.00047,,
,,,50.24048,0.00040,,
,,,50.44088,0.00034,,
,,,50.64128,0.00028,,
,,,50.84168,0.00023,,
,,,51.04208,0.00018,,
,,,51.24248,0.00014,,
,,,51.44289,0.00011,,
,,,51.64329,0.00008,,
,,,51.84369,0.00006,,
,,,52.04409,0.00004,,
,,,52.24449,0.00003,,
,,,52.44489,0.00002,,
,,,52.64529,0.00001,,
,,,52.84569,0.00000,,
,,,53.04609,0.00000,,
,,,53.24649,0.00000,,
,,,53.44689,0.00000,,
,,,53.64729,0.00001,,
,,,53.84770,0.00001,,
,,,54.04810,0.00002,,
,,,54.24850,0.00003,,
,,,54.44890,0.00003,,
,,,54.64930,0.00004,,
,,,54.84970,0.00006,,
,,,55.05010,0.00007,,
,,,55.25050,0.00008,,
,,,55.45090,0.00009,,
,,,55.65130,0.00010,,
,,,55.85170,0.00012,,
,,,56.05210,0.00013,,
,,,56.25251,0.00014,,
,,,56.45291,0.00016,,
,,,56.65331,0.00017,,
,,,56.85371,0.00018,,
,,,57.05411,0.00019,,
,,,57.25451,0.00021,,
,,,57.45491,0.00022,,
,,,57.65531,0.00023,,
,,,57.85571,0.00024,,
,,,58.05611,0.00025,,
,,,58.25651,0.00026,,
,,,58.45691,0.00027,,
,,,58.65731,0.00028,,
,,,58.85772,0.00029,,
,,,59.05812,0.00030,,
,,,59.25852,0.00031,,
,,,59.45892,0.00032,,
,,,59.65932,0.00033,,
,,,59.85972,0.00033,,
,,,60.06012,0.00034,,
,,,60.26052,0.00035,,
,,,60.46092,0.00035,,
,,,60.66132,0.00036,,
,,,60.86172,0.00036,,
,,,61.06212,0.00037,,
